Municipio,0
AFONSO CLAUDIO,911
AGUA DOCE DO NORTE,177
AGUIA BRANCA,390
ALEGRE,369
ALFREDO CHAVES,464
ALTO RIO NOVO,176
ANCHIETA,897
APIACA,170
ARACRUZ,4174
ATILIO VIVACQUA,354
BAIXO GUANDU,748
BARRA DE SAO FRANCISCO,822
BOA ESPERANCA,367
BOM JESUS DO NORTE,317
BREJETUBA,486
CACHOEIRO DE ITAPEMIRIM,5833
CAMPOS DOS GOYTACAZES,106
CARIACICA,11855
CASTELO,1457
COLATINA,6172
CONCEICAO DA BARRA,353
CONCEICAO DO CASTELO,316
DIVINO DE SAO LOURENCO,132
DOMINGOS MARTINS,750
ECOPORANGA,911
FUNDAO,653
GOVERNADOR LINDENBERG,317
GUACUI,351
GUARAPARI,3387
IBATIBA,748
IBIRACU,554
IBITIRAMA,114
ICONHA,484
IRUPI,268
ITAGUACU,197
ITAPEMIRIM,1414
ITARANA,163
IUNA,607
JAGUARE,904
JERONIMO MONTEIRO,269
JOAO NEIVA,453
LARANJA DA TERRA,126
LINHARES,6905
MANTENOPOLIS,226
MARATAIZES,1727
MARECHAL FLORIANO,793
MARILANDIA,424
MIMOSO DO SUL,795
MONTANHA,329
MUCURICI,104
MUNIZ FREIRE,281
MUQUI,365
NOVA VENECIA,1222
PANCAS,582
PEDRO CANARIO,527
PINHEIROS,672
PIUMA,693
PRESIDENTE KENNEDY,773
RIO BANANAL,441
RIO DE JANEIRO,175
RIO NOVO DO SUL,410
SANTA LEOPOLDINA,223
SANTA MARIA DE JETIBA,799
SANTA TERESA,618
SAO DOMINGOS DO NORTE,338
SAO GABRIEL DA PALHA,1728
SAO JOSE DO CALCADO,323
SAO MATEUS,3124
SAO ROQUE DO CANAA,203
SERRA,15761
SOORETAMA,877
VARGEM ALTA,505
VENDA NOVA DO IMIGRANTE,959
VIANA,1847
VILA PAVAO,147
VILA VALERIO,488
VILA VELHA,17923
VITORIA,15700
