Municipio,0
VILA VELHA,2029
SERRA,1733
VITORIA,1656
LINHARES,1460
CARIACICA,1353
SAO MATEUS,1087
CACHOEIRO DE ITAPEMIRIM,1064
ARACRUZ,985
COLATINA,943
GUARAPARI,621
SAO GABRIEL DA PALHA,489
ITAPEMIRIM,461
MARATAIZES,455
ECOPORANGA,353
NOVA VENECIA,350
BARRA DE SAO FRANCISCO,334
CASTELO,319
JAGUARE,268
SANTA MARIA DE JETIBA,258
IBATIBA,234
AFONSO CLAUDIO,209
PINHEIROS,207
VENDA NOVA DO IMIGRANTE,205
ANCHIETA,187
VIANA,182
ALFREDO CHAVES,161
RIO BANANAL,154
SOORETAMA,152
PIUMA,151
PEDRO CANARIO,127
AGUIA BRANCA,126
VILA VALERIO,122
MIMOSO DO SUL,117
DOMINGOS MARTINS,115
PANCAS,110
ICONHA,109
GOVERNADOR LINDENBERG,106
MUNIZ FREIRE,106
BAIXO GUANDU,105
VARGEM ALTA,102
CONCEICAO DA BARRA,100
CONCEICAO DO CASTELO,96
MARECHAL FLORIANO,92
BREJETUBA,90
SANTA TERESA,86
IBIRACU,85
MONTANHA,85
FUNDAO,84
SAO DOMINGOS DO NORTE,82
RIO NOVO DO SUL,75
PRESIDENTE KENNEDY,74
JOAO NEIVA,69
MARILANDIA,64
GUACUI,62
ALEGRE,60
ATILIO VIVACQUA,60
JERONIMO MONTEIRO,59
APIACA,52
IUNA,52
IRUPI,50
MUQUI,49
BOM JESUS DO NORTE,46
VILA PAVAO,42
SAO JOSE DO CALCADO,42
AGUA DOCE DO NORTE,39
ITAGUACU,38
ITARANA,36
LARANJA DA TERRA,35
SANTA LEOPOLDINA,31
MANTENOPOLIS,30
RIO DE JANEIRO,30
PONTO BELO,30
MUCURICI,29
BOA ESPERANCA,29
SAO ROQUE DO CANAA,28
ALTO RIO NOVO,27
DORES DO RIO PRETO,24
IBITIRAMA,23
CAMPOS DOS GOYTACAZES,12
DIVINO DE SAO LOURENCO,11
AIMORES,11
BOM JESUS DO ITABAPOANA,6
PIRIPIRI,6
MUCURI,6
MACAE,5
BELO HORIZONTE,5
SAO PAULO,5
CONSELHEIRO PENA,3
ITUETA,3
NITEROI,3
MANTENA,3
DUQUE DE CAXIAS,2
RIO DAS OSTRAS,2
ITABIRITO,2
PORTO SEGURO,2
AMPARO DO SERRA,2
RESPLENDOR,2
SAO JOSE DOS CAMPOS,2
SALVADOR,2
AURORA DO PARA,2
VESPASIANO,2
CAMPOS BELOS,2
EUNAPOLIS,2
TIMOTEO,2
SANTA BARBARA,1
SAO JOAO DO MANTENINHA,1
SINOP,1
TEIXEIRA DE FREITAS,1
TERESINA,1
SAO LUIS,1
SAO GONCALO,1
RECIFE,1
SAO PEDRO DA ALDEIA,1
TERESOPOLIS,1
SAO JOAO DE MERITI,1
ABADIA DOS DOURADOS,1
PRAINHA,1
COCAL DE TELHA,1
DIONISIO,1
CUPARAQUE,1
CUIABA,1
CORONEL FABRICIANO,1
CONTAGEM,1
CONGONHAS,1
CONCEICAO DO MATO DENTRO,1
CARUARU,1
PRADO,1
CACHOEIRA DA PRATA,1
CABO FRIO,1
BRASILEIRA,1
BELEM,1
ARMACAO DOS BUZIOS,1
AREIAS,1
ANGRA DOS REIS,1
ESPERA FELIZ,1
FEIRA DE SANTANA,1
GOVERNADOR VALADARES,1
GUARULHOS,1
PORTEIRINHA,1
PIRAMBU,1
PADRE PARAISO,1
OURO PRETO,1
NOVA VICOSA,1
NOVA LIMA,1
NOVA IGUACU,1
MUTUM,1
MOGI DAS CRUZES,1
MATA DE SAO JOAO,1
MARIANA,1
LONDRINA,1
ITAMARAJU,1
ITABIRA,1
IPATINGA,1
VOLTA REDONDA,1
